DN,Longitude,Latitude
"1",120.3678999,16.088
"1",120.3690200,16.088
"1",120.3603344,16.088
"1",120.3544354,16.088
"1",120.3601469,16.088
"1",120.3528653,16.088
"1",120.3535187,16.088
"1",120.3538370,16.088
"1",120.3540788,16.088
"1",120.3543121,16.088
"1",120.3530576,16.088
"1",120.3545425,16.088
"1",120.3547291,16.088
"1",120.3524858,16.088
"1",120.3527192,16.088
"1",120.3534660,16.088
"1",120.3538860,16.088
"1",120.3599519,16.088
"1",120.3552832,16.088
"1",120.3554698,16.088
"1",120.3599489,16.087
"1",120.3601356,16.087
"1",120.3609757,16.087
"1",120.3552801,16.087
"1",120.3556535,16.087
"1",120.3627348,16.087
"1",120.3666560,16.087
"1",120.3582520,16.087
"1",120.3586238,16.086
"1",120.3584356,16.086
"1",120.3545137,16.086
"1",120.3588052,16.086
"1",120.3513354,16.086
"1",120.3546958,16.086
"1",120.3569361,16.086
"1",120.3573094,16.086
"1",120.3575895,16.086
"1",120.3548794,16.086
"1",120.3573064,16.086
"1",120.3576798,16.086
"1",120.3550639,16.086
"1",120.3555765,16.086
"1",120.3580493,16.086
"1",120.3593569,16.086
"1",120.3550601,16.085
"1",120.3556201,16.085
"1",120.3558068,16.085
"1",120.3587617,16.085
"1",120.3558038,16.085
"1",120.3560838,16.085
"1",120.3659782,16.085
"1",120.3551473,16.085
"1",120.3555890,16.084
"1",120.3570772,16.083
"1",120.3570742,16.083
"1",120.3572609,16.083
"1",120.3497919,16.083
"1",120.3606197,16.083
"1",120.3608049,16.083
"1",120.3608959,16.083
"1",120.3612640,16.082
"1",120.3614438,16.082
"1",120.3507554,16.082
"1",120.3602281,16.082
"1",120.3616702,16.082
"1",120.3484654,16.082
"1",120.3493989,16.082
"1",120.3507990,16.082
"1",120.3500868,16.081
"1",120.3589016,16.081
"1",120.3578718,16.081
"1",120.3634346,16.080
"1",120.3630959,16.080
"1",120.3525769,16.080
"1",120.3546921,16.080
"1",120.3527289,16.080
"1",120.3529156,16.080
"1",120.3543624,16.080
"1",120.3565544,16.080
"1",120.3534726,16.080
"1",120.3541260,16.080
"1",120.3618718,16.080
"1",120.3532829,16.080
"1",120.3534696,16.080
"1",120.3586959,16.080
"1",120.3571535,16.079
"1",120.3534635,16.079
"1",120.3537436,16.079
"1",120.3564038,16.079
"1",120.3613975,16.079
"1",120.3585024,16.079
"1",120.3642865,16.079
"1",120.3413230,16.079
"1",120.3588246,16.079
"1",120.3571881,16.079
"1",120.3588682,16.079
"1",120.3534514,16.079
"1",120.3541981,16.079
"1",120.3596119,16.079
"1",120.3543825,16.078
"1",120.3481279,16.079
"1",120.3540084,16.078
"1",120.3541951,16.078
"1",120.3545670,16.078
"1",120.3681931,16.078
"1",120.3407479,16.078
"1",120.3388796,16.078
"1",120.3541837,16.078
"1",120.3536199,16.078
"1",120.3543666,16.078
"1",120.3546467,16.078
"1",120.3363488,16.078
"1",120.3536169,16.077
"1",120.3547836,16.077
"1",120.3505336,16.077
"1",120.3359946,16.077
"1",120.3409165,16.077
"1",120.3537975,16.077
"1",120.3539842,16.077
"1",120.3386432,16.077
"1",120.3411001,16.077
"1",120.3368034,16.077
"1",120.3384828,16.077
"1",120.3397903,16.077
"1",120.3370804,16.077
"1",120.3361907,16.077
"1",120.3414645,16.076
"1",120.3490362,16.076
"1",120.3348809,16.076
"1",120.3345512,16.076
"1",120.3352512,16.076
"1",120.3453787,16.076
"1",120.3492990,16.076
"1",120.3494857,16.076
"1",120.3353882,16.076
"1",120.3357616,16.076
"1",120.3481759,16.076
"1",120.3494827,16.076
"1",120.3614301,16.076
"1",120.3548949,16.076
"1",120.3360386,16.076
"1",120.3390255,16.076
"1",120.3394922,16.076
"1",120.3494796,16.076
"1",120.3373424,16.076
"1",120.3402826,16.076
"1",120.3586216,16.075
"1",120.3336057,16.076
"1",120.3373393,16.075
"1",120.3375260,16.075
"1",120.3382728,16.075
"1",120.3385061,16.075
"1",120.3388328,16.075
"1",120.3390180,16.075
"1",120.3403263,16.075
"1",120.3405129,16.075
"1",120.3572208,16.075
"1",120.3453651,16.075
"1",120.3375230,16.075
"1",120.3405099,16.075
"1",120.3537627,16.075
"1",120.3342531,16.075
"1",120.3345331,16.075
"1",120.3394335,16.075
"1",120.3398535,16.075
"1",120.3405069,16.075
"1",120.3447057,16.075
"1",120.3335967,16.075
"1",120.3394305,16.075
"1",120.3416240,16.075
"1",120.3455443,16.075
"1",120.3391008,16.075
"1",120.3392874,16.075
"1",120.3399408,16.075
"1",120.3411542,16.075
"1",120.3423677,16.075
"1",120.3389111,16.075
"1",120.3399378,16.075
"1",120.3401230,16.074
"1",120.3422713,16.074
"1",120.3461908,16.074
"1",120.3520720,16.074
"1",120.3539387,16.074
"1",120.3448833,16.074
"1",120.3389080,16.074
"1",120.3403082,16.074
"1",120.3405882,16.074
"1",120.3416149,16.074
"1",120.3425483,16.074
"1",120.3504822,16.074
"1",120.3524423,16.074
"1",120.3565477,16.074
"1",120.3387184,16.074
"1",120.3403051,16.074
"1",120.3454674,16.074
"1",120.3354484,16.074
"1",120.3387153,16.074
"1",120.3427290,16.074
"1",120.3347920,16.074
"1",120.3383856,16.074
"1",120.3429593,16.074
"1",120.3493997,16.074
"1",120.3496330,16.074
"1",120.3601396,16.073
"1",120.3554185,16.073
"1",120.3350690,16.074
"1",120.3383359,16.074
"1",120.3496300,16.073
"1",120.3598039,16.073
"1",120.3344126,16.074
"1",120.3345993,16.074
"1",120.3434666,16.073
"1",120.3585408,16.073
"1",120.3594268,16.073
"1",120.3596142,16.073
"1",120.3602676,16.073
"1",120.3604542,16.073
"1",120.3427169,16.073
"1",120.3437436,16.073
"1",120.3443503,16.073
"1",120.3586778,16.073
"1",120.3589578,16.073
"1",120.3604512,16.073
"1",120.3326332,16.073
"1",120.3353867,16.073
"1",120.3429005,16.073
"1",120.3446740,16.073
"1",120.3581147,16.073
"1",120.3589548,16.073
"1",120.3592348,16.073
"1",120.3606348,16.073
"1",120.3326301,16.073
"1",120.3449510,16.073
"1",120.3451377,16.073
"1",120.3579250,16.073
"1",120.3328138,16.073
"1",120.3459747,16.073
"1",120.3359859,16.073
"1",120.3321574,16.073
"1",120.3471851,16.072
"1",120.3577323,16.072
"1",120.3367296,16.072
"1",120.3451286,16.072
"1",120.3467154,16.072
"1",120.3473687,16.072
"1",120.3573559,16.072
"1",120.3577292,16.072
"1",120.3464323,16.072
"1",120.3468057,16.072
"1",120.3568862,16.072
"1",120.3571662,16.072
"1",120.3454959,16.072
"1",120.3463360,16.072
"1",120.3465226,16.072
"1",120.3467093,16.072
"1",120.3469893,16.072
"1",120.3471760,16.072
"1",120.3473627,16.072
"1",120.3475494,16.072
"1",120.3609900,16.072
"1",120.3456796,16.072
"1",120.3459129,16.072
"1",120.3482930,16.072
"1",120.3556667,16.072
"1",120.3566001,16.072
"1",120.3567868,16.072
"1",120.3449298,16.072
"1",120.3453965,16.072
"1",120.3459566,16.072
"1",120.3461432,16.072
"1",120.3463299,16.072
"1",120.3564104,16.071
"1",120.3565971,16.071
"1",120.3494086,16.071
"1",120.3342862,16.072
"1",120.3456735,16.071
"1",120.3562207,16.071
"1",120.3564074,16.071
"1",120.3578074,16.071
"1",120.3611675,16.071
"1",120.3360581,16.071
"1",120.3340024,16.071
"1",120.3456705,16.071
"1",120.3334416,16.071
"1",120.3508944,16.071
"1",120.3322007,16.071
"1",120.3560219,16.070
"1",120.3562086,16.070
"1",120.3398730,16.071
